# Target corrupted window: W022
Neighbor context C_t = ['W021', 'W022', 'W023']
Stage-1 inconsistency clues for target: corruption_score=7.063482061964719, unsupported_flow_count=2, unsupported_external_flow_count=1, unsupported_metric_clue_count=0, unsupported_metric_zsum=0.0

Important instruction: recover missing audit events only for the TARGET window, not for neighboring windows.
Neighboring windows are provided only for temporal continuity.

## Window W021

### Observed corrupted audit log snippets
- B004056 | 2026-01-20 12:30:05 | W021 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- BF000800 | 2026-01-20 12:36:35~2026-01-20 12:36:42 | W021 | ws-finance-01 10.20.1.11:47292 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=2779 bytes_in=13218 | related_audit=B002053
- BF000803 | 2026-01-20 12:38:03~2026-01-20 12:38:05 | W021 | mon-srv-01 10.20.1.41:50513 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1653 bytes_in=5562 | related_audit=B002067
- BF000805 | 2026-01-20 12:38:03~2026-01-20 12:38:06 | W021 | mon-srv-01 10.20.1.41:54217 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1651 bytes_in=6206 | related_audit=B002069
- BF000804 | 2026-01-20 12:38:12~2026-01-20 12:38:17 | W021 | mon-srv-01 10.20.1.41:60519 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1025 bytes_in=8467 | related_audit=B002068
- BF000806 | 2026-01-20 12:38:17~2026-01-20 12:38:22 | W021 | mon-srv-01 10.20.1.41:51479 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1058 bytes_in=8235 | related_audit=B002070
- F0011 | 2026-01-20 12:39:09~2026-01-20 12:39:21 | W021 | ws-finance-01 10.20.1.11:49722 -> 198.51.100.77:443 | service=HTTPS pattern=beacon | bytes_out=1488 bytes_in=930 | related_audit=E0044
- BF000808 | 2026-01-20 12:39:23~2026-01-20 12:39:28 | W021 | ws-dev-02 10.20.1.12:42452 -> 192.0.2.30:443 | service=HTTPS pattern=dev_repo_access | bytes_out=9172 bytes_in=223604 | related_audit=B002078
- BF000807 | 2026-01-20 12:39:29~2026-01-20 12:39:45 | W021 | ws-finance-01 10.20.1.11:57666 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=2634 bytes_in=22796 | related_audit=B002076

### Host metric samples
- M001055 | 2026-01-20 12:30:00 | W021 | host=mon-srv-01 | cpu=21.09 mem=61.88 disk_read=145804 disk_write=222862 net_in=8051 net_out=7497 proc_count=113 open_files=391 | hint=prometheus | note=normal baseline
- M001052 | 2026-01-20 12:30:00 | W021 | host=ws-dev-02 | cpu=21.93 mem=51.71 disk_read=126229 disk_write=136403 net_in=7871 net_out=7155 proc_count=121 open_files=366 | hint=dev-shell | note=normal baseline
- M001060 | 2026-01-20 12:31:00 | W021 | host=mon-srv-01 | cpu=22.7 mem=61.86 disk_read=127426 disk_write=147492 net_in=16057 net_out=9178 proc_count=120 open_files=417 | hint=prometheus | note=normal baseline
- M001057 | 2026-01-20 12:31:00 | W021 | host=ws-dev-02 | cpu=22.17 mem=49.02 disk_read=164846 disk_write=83747 net_in=7277 net_out=6788 proc_count=133 open_files=328 | hint=dev-shell | note=normal baseline
- M001056 | 2026-01-20 12:31:00 | W021 | host=ws-finance-01 | cpu=29.5 mem=52.4 disk_read=89940 disk_write=80041 net_in=3828 net_out=18000 proc_count=126 open_files=341 | hint=syswatch | note=small periodic outbound network peak without matching rich audit context
- M001065 | 2026-01-20 12:32:00 | W021 | host=mon-srv-01 | cpu=21.27 mem=61.2 disk_read=176798 disk_write=203503 net_in=17196 net_out=5541 proc_count=113 open_files=425 | hint=prometheus | note=normal baseline
- M001064 | 2026-01-20 12:32:00 | W021 | host=portal-web-01 | cpu=20.11 mem=56.67 disk_read=95180 disk_write=92080 net_in=4331 net_out=6316 proc_count=101 open_files=347 | hint=nginx | note=normal baseline
- M001062 | 2026-01-20 12:32:00 | W021 | host=ws-dev-02 | cpu=20.31 mem=49.98 disk_read=148513 disk_write=109555 net_in=9592 net_out=6008 proc_count=127 open_files=366 | hint=dev-shell | note=normal baseline
- M001070 | 2026-01-20 12:33:00 | W021 | host=mon-srv-01 | cpu=22.58 mem=62.56 disk_read=96103 disk_write=162811 net_in=12308 net_out=9708 proc_count=115 open_files=418 | hint=prometheus | note=normal baseline
- M001069 | 2026-01-20 12:33:00 | W021 | host=portal-web-01 | cpu=33.4 mem=55.47 disk_read=108684 disk_write=102997 net_in=12049 net_out=18000 proc_count=116 open_files=366 | hint=portal-sync | note=small periodic outbound network peak without matching rich audit context
- M001067 | 2026-01-20 12:33:00 | W021 | host=ws-dev-02 | cpu=25.64 mem=49.65 disk_read=164226 disk_write=111968 net_in=2723 net_out=3133 proc_count=125 open_files=377 | hint=dev-shell | note=normal baseline
- M001075 | 2026-01-20 12:34:00 | W021 | host=mon-srv-01 | cpu=18.29 mem=60.16 disk_read=105477 disk_write=200413 net_in=10081 net_out=9866 proc_count=120 open_files=404 | hint=prometheus | note=normal baseline
- M001074 | 2026-01-20 12:34:00 | W021 | host=portal-web-01 | cpu=19.93 mem=56.31 disk_read=89465 disk_write=91273 net_in=9411 net_out=7425 proc_count=98 open_files=359 | hint=nginx | note=normal baseline
- M001072 | 2026-01-20 12:34:00 | W021 | host=ws-dev-02 | cpu=22.95 mem=49.76 disk_read=83424 disk_write=94483 net_in=6150 net_out=6596 proc_count=122 open_files=381 | hint=dev-shell | note=normal baseline
- M001080 | 2026-01-20 12:35:00 | W021 | host=mon-srv-01 | cpu=21.03 mem=63.08 disk_read=131679 disk_write=151148 net_in=12070 net_out=15081 proc_count=117 open_files=394 | hint=prometheus | note=normal baseline
- M001079 | 2026-01-20 12:35:00 | W021 | host=portal-web-01 | cpu=18.53 mem=57.14 disk_read=83505 disk_write=115775 net_in=9037 net_out=9322 proc_count=106 open_files=383 | hint=nginx | note=normal baseline
- M001077 | 2026-01-20 12:35:00 | W021 | host=ws-dev-02 | cpu=19.93 mem=51.47 disk_read=128277 disk_write=148814 net_in=6781 net_out=4908 proc_count=121 open_files=337 | hint=dev-shell | note=normal baseline
- M001076 | 2026-01-20 12:35:00 | W021 | host=ws-finance-01 | cpu=19.0 mem=47.62 disk_read=98847 disk_write=84683 net_in=3894 net_out=4521 proc_count=110 open_files=331 | hint=office-apps | note=normal baseline
- M001085 | 2026-01-20 12:36:00 | W021 | host=mon-srv-01 | cpu=19.03 mem=62.03 disk_read=119790 disk_write=207495 net_in=9726 net_out=9943 proc_count=122 open_files=418 | hint=prometheus | note=normal baseline
- M001084 | 2026-01-20 12:36:00 | W021 | host=portal-web-01 | cpu=20.57 mem=55.6 disk_read=70853 disk_write=139134 net_in=10435 net_out=6369 proc_count=102 open_files=395 | hint=nginx | note=normal baseline
- M001082 | 2026-01-20 12:36:00 | W021 | host=ws-dev-02 | cpu=18.74 mem=49.81 disk_read=126615 disk_write=154844 net_in=6465 net_out=5951 proc_count=123 open_files=356 | hint=dev-shell | note=normal baseline
- M001090 | 2026-01-20 12:37:00 | W021 | host=mon-srv-01 | cpu=19.12 mem=62.06 disk_read=127821 disk_write=245846 net_in=18469 net_out=8707 proc_count=117 open_files=432 | hint=prometheus | note=normal baseline
- M001089 | 2026-01-20 12:37:00 | W021 | host=portal-web-01 | cpu=21.59 mem=57.01 disk_read=97199 disk_write=114215 net_in=13100 net_out=9014 proc_count=103 open_files=412 | hint=nginx | note=normal baseline
- M001087 | 2026-01-20 12:37:00 | W021 | host=ws-dev-02 | cpu=21.59 mem=51.03 disk_read=154582 disk_write=117138 net_in=6427 net_out=4399 proc_count=126 open_files=360 | hint=dev-shell | note=normal baseline
- M001095 | 2026-01-20 12:38:00 | W021 | host=mon-srv-01 | cpu=26.05 mem=62.92 disk_read=156614 disk_write=153450 net_in=20570 net_out=9255 proc_count=115 open_files=407 | hint=prometheus | note=normal baseline
- M001092 | 2026-01-20 12:38:00 | W021 | host=ws-dev-02 | cpu=21.37 mem=51.83 disk_read=101900 disk_write=94302 net_in=6749 net_out=4988 proc_count=123 open_files=354 | hint=dev-shell | note=normal baseline
- M001100 | 2026-01-20 12:39:00 | W021 | host=mon-srv-01 | cpu=22.51 mem=62.68 disk_read=148045 disk_write=172173 net_in=14242 net_out=6510 proc_count=114 open_files=423 | hint=prometheus | note=normal baseline
- M001099 | 2026-01-20 12:39:00 | W021 | host=portal-web-01 | cpu=19.56 mem=55.19 disk_read=99775 disk_write=108834 net_in=12301 net_out=12773 proc_count=100 open_files=366 | hint=nginx | note=normal baseline
- M001097 | 2026-01-20 12:39:00 | W021 | host=ws-dev-02 | cpu=22.71 mem=49.91 disk_read=138495 disk_write=68988 net_in=6998 net_out=5502 proc_count=129 open_files=369 | hint=dev-shell | note=normal baseline
- M001096 | 2026-01-20 12:39:00 | W021 | host=ws-finance-01 | cpu=29.5 mem=52.4 disk_read=96231 disk_write=94144 net_in=2832 net_out=18000 proc_count=126 open_files=341 | hint=syswatch | note=small periodic outbound network peak without matching rich audit context

### Host metric clue events
- ME0009 | 2026-01-20 12:30:00~2026-01-20 12:40:00 | W021 | host=ws-finance-01 event_type=periodic_c2_burst metric=net_out_bytes z=4.7 | hint=syswatch | desc=small regular outbound TLS-like flows to external endpoint
- ME0010 | 2026-01-20 12:30:00~2026-01-20 12:40:00 | W021 | host=portal-web-01 event_type=periodic_c2_burst metric=net_out_bytes z=4.5 | hint=portal-sync | desc=portal helper shows outbound periodic TLS-like flows

---

## Window W022

### Observed corrupted audit log snippets
- B005086 | 2026-01-20 12:40:00 | W022 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B002095 | 2026-01-20 12:40:00 | W022 | host=ws-finance-01 user=u_fin process=updatedb | updatedb:1902@ws-finance-01 --connect--> 192.0.2.10:443 (socket) | cmd=connect | args=benign package metadata check
- B002086 | 2026-01-20 12:40:02 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002083 | 2026-01-20 12:40:03 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002084 | 2026-01-20 12:40:05 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002096 | 2026-01-20 12:40:06 | W022 | host=ws-finance-01 user=u_fin process=updatedb | updatedb:1902@ws-finance-01 --write--> /var/cache/apt/pkgcache.bin (file) | cmd=write | args=benign package cache update
- B002092 | 2026-01-20 12:40:06 | W022 | host=ws-finance-01 user=u_fin process=libreoffice | libreoffice:2112@ws-finance-01 --write--> /home/u_fin/Downloads/report.pdf (file) | cmd=write | args=autosave office document
- B002093 | 2026-01-20 12:40:08 | W022 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B002094 | 2026-01-20 12:40:10 | W022 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B002090 | 2026-01-20 12:40:11 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B002085 | 2026-01-20 12:40:12 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002088 | 2026-01-20 12:40:32 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B002087 | 2026-01-20 12:40:35 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002099 | 2026-01-20 12:40:37 | W022 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002089 | 2026-01-20 12:40:44 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B005050 | 2026-01-20 12:40:49 | W022 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002100 | 2026-01-20 12:41:02 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002105 | 2026-01-20 12:41:22 | W022 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B004416 | 2026-01-20 12:41:22 | W022 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B003570 | 2026-01-20 12:41:27 | W022 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B005277 | 2026-01-20 12:41:30 | W022 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B005354 | 2026-01-20 12:41:37 | W022 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B002101 | 2026-01-20 12:41:39 | W022 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B002110 | 2026-01-20 12:42:03 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002106 | 2026-01-20 12:42:04 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002109 | 2026-01-20 12:42:05 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002108 | 2026-01-20 12:42:06 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B005148 | 2026-01-20 12:42:15 | W022 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B002107 | 2026-01-20 12:42:15 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002111 | 2026-01-20 12:42:28 | W022 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B002112 | 2026-01-20 12:42:29 | W022 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B004277 | 2026-01-20 12:42:34 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B004500 | 2026-01-20 12:42:40 | W022 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B003703 | 2026-01-20 12:42:40 | W022 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002115 | 2026-01-20 12:42:42 | W022 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002120 | 2026-01-20 12:43:05 | W022 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002117 | 2026-01-20 12:43:24 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B004670 | 2026-01-20 12:43:34 | W022 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B004608 | 2026-01-20 12:43:40 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B004781 | 2026-01-20 12:43:45 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B004708 | 2026-01-20 12:43:53 | W022 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002121 | 2026-01-20 12:44:06 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B004794 | 2026-01-20 12:44:12 | W022 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002123 | 2026-01-20 12:44:15 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002124 | 2026-01-20 12:44:15 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002122 | 2026-01-20 12:44:18 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002130 | 2026-01-20 12:44:25 | W022 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B003797 | 2026-01-20 12:44:26 | W022 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- E0050 | 2026-01-20 12:44:28 | W022 | host=portal-web-01 user=svc_web process=portal-sync | portal-sync:4022@portal-web-01 --read--> /var/www/portal/.cache/portal-sync (file) | cmd=read | args=read portal helper before beacon
- B002132 | 2026-01-20 12:44:29 | W022 | host=portal-web-01 user=svc_web process=logrotate | logrotate:1335@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=create new access log
- B002127 | 2026-01-20 12:44:36 | W022 | host=ws-finance-01 user=u_fin process=libreoffice | libreoffice:2112@ws-finance-01 --write--> /home/u_fin/docs/budget_q2_autosave.xlsx (file) | cmd=write | args=autosave office document
- B002125 | 2026-01-20 12:44:45 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B004305 | 2026-01-20 12:44:58 | W022 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B005047 | 2026-01-20 12:45:12 | W022 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B002139 | 2026-01-20 12:45:12 | W022 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B002140 | 2026-01-20 12:45:14 | W022 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B005140 | 2026-01-20 12:45:17 | W022 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B004867 | 2026-01-20 12:45:18 | W022 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002137 | 2026-01-20 12:45:19 | W022 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B002138 | 2026-01-20 12:45:20 | W022 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B002143 | 2026-01-20 12:45:22 | W022 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002141 | 2026-01-20 12:45:38 | W022 | host=ws-dev-02 user=u_dev process=bash | bash:2232@ws-dev-02 --execute--> /var/lib/docker/tmp/build-context.tar (file) | cmd=read | args=normal local development/test activity
- B002135 | 2026-01-20 12:45:41 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B002136 | 2026-01-20 12:45:42 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B002134 | 2026-01-20 12:45:46 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B002133 | 2026-01-20 12:45:49 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B004027 | 2026-01-20 12:45:55 | W022 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B002150 | 2026-01-20 12:46:01 | W022 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B002146 | 2026-01-20 12:46:02 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002147 | 2026-01-20 12:46:12 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002145 | 2026-01-20 12:46:12 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002148 | 2026-01-20 12:46:17 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B005219 | 2026-01-20 12:46:34 | W022 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002149 | 2026-01-20 12:46:41 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002152 | 2026-01-20 12:46:43 | W022 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --connect--> 192.0.2.30:443 (socket) | cmd=connect | args=normal package/source repository access
- B002153 | 2026-01-20 12:46:46 | W022 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --write--> /var/lib/docker/tmp/build-context.tar (file) | cmd=write | args=normal development file/cache update
- B002156 | 2026-01-20 12:46:47 | W022 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B005157 | 2026-01-20 12:46:57 | W022 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B002157 | 2026-01-20 12:47:04 | W022 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002160 | 2026-01-20 12:47:08 | W022 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B005253 | 2026-01-20 12:47:39 | W022 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B004178 | 2026-01-20 12:47:45 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B002166 | 2026-01-20 12:48:03 | W022 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B002167 | 2026-01-20 12:48:04 | W022 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B002163 | 2026-01-20 12:48:11 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002161 | 2026-01-20 12:48:11 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002164 | 2026-01-20 12:48:16 | W022 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
