# Target corrupted window: W002
Neighbor context C_t = ['W001', 'W002', 'W003']
Stage-1 inconsistency clues for target: corruption_score=7.328671434852988, unsupported_flow_count=2, unsupported_external_flow_count=1, unsupported_metric_clue_count=0, unsupported_metric_zsum=0.0

Important instruction: recover missing audit events only for the TARGET window, not for neighboring windows.
Neighboring windows are provided only for temporal continuity.

## Window W001

### Observed corrupted audit log snippets
- B000103 | 2026-01-20 09:10:08 | W001 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- BF000074 | 2026-01-20 09:18:15~2026-01-20 09:18:18 | W001 | mon-srv-01 10.20.1.41:60990 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1696 bytes_in=6985 | related_audit=B000179
- BF000076 | 2026-01-20 09:18:31~2026-01-20 09:20:17 | W001 | file-srv-01 10.20.1.21:58996 -> 10.20.1.41:873 | service=RSYNC pattern=backup_sync | bytes_out=100862 bytes_in=16570 | related_audit=B000185
- BF000075 | 2026-01-20 09:18:37~2026-01-20 09:18:46 | W001 | ws-finance-01 10.20.1.11:56013 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=2055 bytes_in=61848 | related_audit=B000181

### Host metric samples
- M000055 | 2026-01-20 09:10:00 | W001 | host=mon-srv-01 | cpu=26.18 mem=62.66 disk_read=118823 disk_write=195938 net_in=12719 net_out=5500 proc_count=120 open_files=405 | hint=prometheus | note=normal baseline
- M000054 | 2026-01-20 09:10:00 | W001 | host=portal-web-01 | cpu=23.86 mem=56.55 disk_read=99074 disk_write=98059 net_in=12501 net_out=9630 proc_count=105 open_files=369 | hint=nginx | note=normal baseline
- M000052 | 2026-01-20 09:10:00 | W001 | host=ws-dev-02 | cpu=22.66 mem=50.4 disk_read=164604 disk_write=126827 net_in=4658 net_out=5877 proc_count=127 open_files=360 | hint=dev-shell | note=normal baseline
- M000060 | 2026-01-20 09:11:00 | W001 | host=mon-srv-01 | cpu=24.58 mem=62.39 disk_read=113474 disk_write=114505 net_in=11520 net_out=6489 proc_count=114 open_files=404 | hint=prometheus | note=normal baseline
- M000059 | 2026-01-20 09:11:00 | W001 | host=portal-web-01 | cpu=21.74 mem=56.72 disk_read=75436 disk_write=98319 net_in=11271 net_out=9785 proc_count=106 open_files=352 | hint=nginx | note=normal baseline
- M000057 | 2026-01-20 09:11:00 | W001 | host=ws-dev-02 | cpu=21.02 mem=51.48 disk_read=153015 disk_write=81291 net_in=5372 net_out=8078 proc_count=124 open_files=376 | hint=dev-shell | note=normal baseline
- M000065 | 2026-01-20 09:12:00 | W001 | host=mon-srv-01 | cpu=24.02 mem=62.06 disk_read=99300 disk_write=214191 net_in=15485 net_out=10415 proc_count=119 open_files=407 | hint=prometheus | note=normal baseline
- M000064 | 2026-01-20 09:12:00 | W001 | host=portal-web-01 | cpu=22.88 mem=57.13 disk_read=118221 disk_write=134299 net_in=7320 net_out=7613 proc_count=102 open_files=386 | hint=nginx | note=normal baseline
- M000062 | 2026-01-20 09:12:00 | W001 | host=ws-dev-02 | cpu=24.38 mem=51.49 disk_read=120791 disk_write=133771 net_in=4858 net_out=5467 proc_count=128 open_files=326 | hint=dev-shell | note=normal baseline
- M000070 | 2026-01-20 09:13:00 | W001 | host=mon-srv-01 | cpu=20.12 mem=62.35 disk_read=105485 disk_write=215992 net_in=8390 net_out=9275 proc_count=119 open_files=424 | hint=prometheus | note=normal baseline
- M000067 | 2026-01-20 09:13:00 | W001 | host=ws-dev-02 | cpu=24.37 mem=50.04 disk_read=101314 disk_write=139947 net_in=5206 net_out=4663 proc_count=125 open_files=354 | hint=dev-shell | note=normal baseline
- M000075 | 2026-01-20 09:14:00 | W001 | host=mon-srv-01 | cpu=22.76 mem=61.21 disk_read=115817 disk_write=264794 net_in=11862 net_out=6961 proc_count=121 open_files=409 | hint=prometheus | note=normal baseline
- M000074 | 2026-01-20 09:14:00 | W001 | host=portal-web-01 | cpu=23.69 mem=55.84 disk_read=98285 disk_write=96102 net_in=9528 net_out=7010 proc_count=105 open_files=368 | hint=nginx | note=normal baseline
- M000072 | 2026-01-20 09:14:00 | W001 | host=ws-dev-02 | cpu=23.38 mem=50.06 disk_read=130672 disk_write=125335 net_in=5478 net_out=5324 proc_count=127 open_files=399 | hint=dev-shell | note=normal baseline
- M000080 | 2026-01-20 09:15:00 | W001 | host=mon-srv-01 | cpu=22.54 mem=62.04 disk_read=116016 disk_write=189657 net_in=18908 net_out=8031 proc_count=119 open_files=373 | hint=prometheus | note=normal baseline
- M000079 | 2026-01-20 09:15:00 | W001 | host=portal-web-01 | cpu=22.29 mem=57.42 disk_read=93897 disk_write=106845 net_in=8059 net_out=11499 proc_count=102 open_files=370 | hint=nginx | note=normal baseline
- M000077 | 2026-01-20 09:15:00 | W001 | host=ws-dev-02 | cpu=25.65 mem=50.37 disk_read=170465 disk_write=131439 net_in=6437 net_out=5072 proc_count=121 open_files=373 | hint=dev-shell | note=normal baseline
- M000076 | 2026-01-20 09:15:00 | W001 | host=ws-finance-01 | cpu=21.26 mem=47.16 disk_read=44927 disk_write=66598 net_in=5634 net_out=1912 proc_count=106 open_files=313 | hint=office-apps | note=normal baseline
- M000085 | 2026-01-20 09:16:00 | W001 | host=mon-srv-01 | cpu=25.07 mem=63.07 disk_read=71424 disk_write=246883 net_in=12393 net_out=7393 proc_count=115 open_files=420 | hint=prometheus | note=normal baseline
- M000081 | 2026-01-20 09:16:00 | W001 | host=ws-finance-01 | cpu=21.95 mem=48.49 disk_read=92469 disk_write=102113 net_in=3954 net_out=2784 proc_count=111 open_files=290 | hint=office-apps | note=normal baseline
- M000088 | 2026-01-20 09:17:00 | W001 | host=file-srv-01 | cpu=20.49 mem=44.98 disk_read=183072 disk_write=95346 net_in=5885 net_out=6164 proc_count=94 open_files=393 | hint=smbd | note=normal baseline
- M000090 | 2026-01-20 09:17:00 | W001 | host=mon-srv-01 | cpu=26.02 mem=61.89 disk_read=104091 disk_write=158043 net_in=12730 net_out=7684 proc_count=118 open_files=446 | hint=prometheus | note=normal baseline
- M000089 | 2026-01-20 09:17:00 | W001 | host=portal-web-01 | cpu=20.62 mem=56.79 disk_read=90696 disk_write=95007 net_in=8583 net_out=6269 proc_count=97 open_files=391 | hint=nginx | note=normal baseline
- M000087 | 2026-01-20 09:17:00 | W001 | host=ws-dev-02 | cpu=25.75 mem=51.94 disk_read=107926 disk_write=93144 net_in=3789 net_out=4529 proc_count=125 open_files=352 | hint=dev-shell | note=normal baseline
- M000093 | 2026-01-20 09:18:00 | W001 | host=file-srv-01 | cpu=19.32 mem=44.54 disk_read=220153 disk_write=112705 net_in=9281 net_out=3092 proc_count=95 open_files=379 | hint=smbd | note=normal baseline
- M000095 | 2026-01-20 09:18:00 | W001 | host=mon-srv-01 | cpu=26.06 mem=62.03 disk_read=116882 disk_write=233263 net_in=12501 net_out=13335 proc_count=119 open_files=385 | hint=prometheus | note=normal baseline
- M000092 | 2026-01-20 09:18:00 | W001 | host=ws-dev-02 | cpu=24.83 mem=51.16 disk_read=126069 disk_write=72640 net_in=10016 net_out=6562 proc_count=125 open_files=334 | hint=dev-shell | note=normal baseline
- M000091 | 2026-01-20 09:18:00 | W001 | host=ws-finance-01 | cpu=19.52 mem=47.02 disk_read=111046 disk_write=94816 net_in=4260 net_out=3017 proc_count=112 open_files=329 | hint=office-apps | note=normal baseline
- M000100 | 2026-01-20 09:19:00 | W001 | host=mon-srv-01 | cpu=22.74 mem=62.21 disk_read=121834 disk_write=154595 net_in=18036 net_out=8701 proc_count=120 open_files=395 | hint=prometheus | note=normal baseline
- M000099 | 2026-01-20 09:19:00 | W001 | host=portal-web-01 | cpu=22.3 mem=57.67 disk_read=29783 disk_write=130963 net_in=6289 net_out=7011 proc_count=106 open_files=358 | hint=nginx | note=normal baseline

### Host metric clue events
- none

---

## Window W002

### Observed corrupted audit log snippets
- B000207 | 2026-01-20 09:20:02 | W002 | host=file-srv-01 user=svc_backup process=smbd | smbd:1201@file-srv-01 --write--> /srv/share/finance/budget_q1.xlsx.lock (file) | cmd=write | args=benign lock/update file created by share service
- B000195 | 2026-01-20 09:20:04 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000197 | 2026-01-20 09:20:06 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000194 | 2026-01-20 09:20:09 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000196 | 2026-01-20 09:20:14 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000209 | 2026-01-20 09:20:25 | W002 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000199 | 2026-01-20 09:20:26 | W002 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B000204 | 2026-01-20 09:20:27 | W002 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B000205 | 2026-01-20 09:20:29 | W002 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B000200 | 2026-01-20 09:20:32 | W002 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B005520 | 2026-01-20 09:20:35 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B004130 | 2026-01-20 09:20:36 | W002 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B000198 | 2026-01-20 09:20:47 | W002 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B000203 | 2026-01-20 09:20:49 | W002 | host=ws-finance-01 user=u_fin process=libreoffice | libreoffice:2112@ws-finance-01 --write--> /srv/share/finance/monthly_summary_autosave.xlsx (file) | cmd=write | args=autosave office document
- B000201 | 2026-01-20 09:20:50 | W002 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B004468 | 2026-01-20 09:20:56 | W002 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B000217 | 2026-01-20 09:21:01 | W002 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000210 | 2026-01-20 09:21:15 | W002 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B003736 | 2026-01-20 09:21:27 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B000213 | 2026-01-20 09:21:41 | W002 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B000211 | 2026-01-20 09:21:47 | W002 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B000212 | 2026-01-20 09:21:48 | W002 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B003742 | 2026-01-20 09:21:50 | W002 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B000219 | 2026-01-20 09:22:02 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000223 | 2026-01-20 09:22:03 | W002 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B004858 | 2026-01-20 09:22:05 | W002 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B004460 | 2026-01-20 09:22:07 | W002 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B000220 | 2026-01-20 09:22:08 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000222 | 2026-01-20 09:22:11 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000226 | 2026-01-20 09:22:11 | W002 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000221 | 2026-01-20 09:22:18 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B005537 | 2026-01-20 09:22:31 | W002 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B003801 | 2026-01-20 09:22:41 | W002 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B003959 | 2026-01-20 09:22:52 | W002 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B000231 | 2026-01-20 09:23:03 | W002 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B004140 | 2026-01-20 09:23:16 | W002 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B000227 | 2026-01-20 09:23:18 | W002 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B004382 | 2026-01-20 09:23:29 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B000228 | 2026-01-20 09:23:39 | W002 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --connect--> 192.0.2.30:443 (socket) | cmd=connect | args=normal package/source repository access
- B005113 | 2026-01-20 09:23:39 | W002 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B000229 | 2026-01-20 09:23:42 | W002 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --write--> /home/u_dev/src/portal/app/config.yaml (file) | cmd=write | args=normal development file/cache update
- B000232 | 2026-01-20 09:24:04 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000245 | 2026-01-20 09:24:04 | W002 | host=portal-web-01 user=svc_web process=logrotate | logrotate:1335@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=create new access log
- B000242 | 2026-01-20 09:24:05 | W002 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000235 | 2026-01-20 09:24:05 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000234 | 2026-01-20 09:24:05 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000233 | 2026-01-20 09:24:09 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000236 | 2026-01-20 09:24:28 | W002 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B005337 | 2026-01-20 09:24:34 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B004204 | 2026-01-20 09:24:36 | W002 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B000237 | 2026-01-20 09:24:43 | W002 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B000238 | 2026-01-20 09:24:44 | W002 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- E0002 | 2026-01-20 09:24:51 | W002 | host=ws-finance-01 user=u_fin process=firefox | firefox:2412@ws-finance-01 --write--> /home/u_fin/Downloads/report_update.pdf (file) | cmd=write | args=downloaded suspicious update container
- B004871 | 2026-01-20 09:25:00 | W002 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B000252 | 2026-01-20 09:25:03 | W002 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /home/u_dev/src/portal/app/config.yaml (file) | cmd=read | args=normal local development/test activity
- B000246 | 2026-01-20 09:25:04 | W002 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B000250 | 2026-01-20 09:25:08 | W002 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B000251 | 2026-01-20 09:25:10 | W002 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B000254 | 2026-01-20 09:25:16 | W002 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000249 | 2026-01-20 09:25:16 | W002 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B000247 | 2026-01-20 09:25:28 | W002 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B000248 | 2026-01-20 09:25:35 | W002 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B004735 | 2026-01-20 09:25:50 | W002 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B000256 | 2026-01-20 09:26:04 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000257 | 2026-01-20 09:26:07 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000258 | 2026-01-20 09:26:09 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000260 | 2026-01-20 09:26:17 | W002 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B000255 | 2026-01-20 09:26:18 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000263 | 2026-01-20 09:26:19 | W002 | host=file-srv-01 user=svc_backup process=smbd | smbd:1201@file-srv-01 --write--> /srv/share/dev/release_notes.txt.lock (file) | cmd=write | args=benign lock/update file created by share service
- B000259 | 2026-01-20 09:26:20 | W002 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B003836 | 2026-01-20 09:26:21 | W002 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B000265 | 2026-01-20 09:26:27 | W002 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B003528 | 2026-01-20 09:26:40 | W002 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B005464 | 2026-01-20 09:26:45 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B003820 | 2026-01-20 09:26:46 | W002 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B004060 | 2026-01-20 09:26:57 | W002 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B004868 | 2026-01-20 09:27:00 | W002 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B003993 | 2026-01-20 09:27:03 | W002 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B000271 | 2026-01-20 09:27:07 | W002 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000267 | 2026-01-20 09:27:12 | W002 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B000268 | 2026-01-20 09:27:13 | W002 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B004913 | 2026-01-20 09:27:56 | W002 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B000276 | 2026-01-20 09:28:05 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000273 | 2026-01-20 09:28:13 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000274 | 2026-01-20 09:28:13 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000275 | 2026-01-20 09:28:13 | W002 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B004422 | 2026-01-20 09:28:36 | W002 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B005078 | 2026-01-20 09:29:10 | W002 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B000284 | 2026-01-20 09:29:30 | W002 | host=ws-dev-02 user=u_dev process=python3 | python3:2232@ws-dev-02 --execute--> /var/lib/docker/tmp/build-context.tar (file) | cmd=read | args=normal local development/test activity
- E0006 | 2026-01-20 09:29:48 | W002 | host=ws-finance-01 user=u_fin process=update-check | update-check:2440@ws-finance-01 --write--> /tmp/.session-x1 (file) | cmd=write | args=create local session marker
- ... 64 additional audit rows omitted for W002

### Network flow side-view evidence
- BF000079 | 2026-01-20 09:20:04~2026-01-20 09:20:07 | W002 | mon-srv-01 10.20.1.41:59002 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1476 bytes_in=7356 | related_audit=B000196
- BF000077 | 2026-01-20 09:20:11~2026-01-20 09:20:16 | W002 | mon-srv-01 10.20.1.41:49215 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=844 bytes_in=5954 | related_audit=B000194
- BF000080 | 2026-01-20 09:20:12~2026-01-20 09:20:16 | W002 | mon-srv-01 10.20.1.41:57144 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1730 bytes_in=3371 | related_audit=B000197
- BF000078 | 2026-01-20 09:20:15~2026-01-20 09:20:21 | W002 | mon-srv-01 10.20.1.41:52410 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=928 bytes_in=5897 | related_audit=B000195
