# Target corrupted window: W024
Neighbor context C_t = ['W023', 'W024', 'W025']
Stage-1 inconsistency clues for target: corruption_score=4.556342762863228, unsupported_flow_count=1, unsupported_external_flow_count=1, unsupported_metric_clue_count=0, unsupported_metric_zsum=0.0

Important instruction: recover missing audit events only for the TARGET window, not for neighboring windows.
Neighboring windows are provided only for temporal continuity.

## Window W023

### Observed corrupted audit log snippets
- B002179 | 2026-01-20 12:50:02 | W023 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- BF000879 | 2026-01-20 12:58:21~2026-01-20 12:58:25 | W023 | mon-srv-01 10.20.1.41:53055 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1657 bytes_in=5265 | related_audit=B002261

### Host metric samples
- M001153 | 2026-01-20 12:50:00 | W023 | host=file-srv-01 | cpu=19.28 mem=42.17 disk_read=138641 disk_write=107003 net_in=5626 net_out=11166 proc_count=97 open_files=463 | hint=smbd | note=normal baseline
- M001155 | 2026-01-20 12:50:00 | W023 | host=mon-srv-01 | cpu=26.4 mem=61.72 disk_read=117108 disk_write=161597 net_in=9679 net_out=7476 proc_count=117 open_files=409 | hint=prometheus | note=normal baseline
- M001154 | 2026-01-20 12:50:00 | W023 | host=portal-web-01 | cpu=20.93 mem=55.53 disk_read=88002 disk_write=100284 net_in=8921 net_out=12960 proc_count=103 open_files=352 | hint=nginx | note=normal baseline
- M001152 | 2026-01-20 12:50:00 | W023 | host=ws-dev-02 | cpu=18.76 mem=49.21 disk_read=132716 disk_write=113669 net_in=9138 net_out=5647 proc_count=126 open_files=343 | hint=dev-shell | note=normal baseline
- M001158 | 2026-01-20 12:51:00 | W023 | host=file-srv-01 | cpu=18.38 mem=42.16 disk_read=221541 disk_write=116814 net_in=5645 net_out=8540 proc_count=94 open_files=434 | hint=smbd | note=normal baseline
- M001160 | 2026-01-20 12:51:00 | W023 | host=mon-srv-01 | cpu=21.26 mem=60.93 disk_read=106768 disk_write=168131 net_in=14218 net_out=5496 proc_count=116 open_files=415 | hint=prometheus | note=normal baseline
- M001157 | 2026-01-20 12:51:00 | W023 | host=ws-dev-02 | cpu=17.99 mem=51.0 disk_read=125499 disk_write=139111 net_in=5799 net_out=4202 proc_count=127 open_files=337 | hint=dev-shell | note=normal baseline
- M001165 | 2026-01-20 12:52:00 | W023 | host=mon-srv-01 | cpu=24.56 mem=61.91 disk_read=163258 disk_write=228281 net_in=19349 net_out=8946 proc_count=111 open_files=363 | hint=prometheus | note=normal baseline
- M001164 | 2026-01-20 12:52:00 | W023 | host=portal-web-01 | cpu=18.63 mem=55.11 disk_read=93655 disk_write=112246 net_in=10724 net_out=10225 proc_count=102 open_files=374 | hint=nginx | note=normal baseline
- M001162 | 2026-01-20 12:52:00 | W023 | host=ws-dev-02 | cpu=21.24 mem=49.65 disk_read=161520 disk_write=116574 net_in=5435 net_out=5964 proc_count=125 open_files=343 | hint=dev-shell | note=normal baseline
- M001170 | 2026-01-20 12:53:00 | W023 | host=mon-srv-01 | cpu=25.47 mem=60.26 disk_read=95069 disk_write=220927 net_in=13790 net_out=12514 proc_count=124 open_files=391 | hint=prometheus | note=normal baseline
- M001167 | 2026-01-20 12:53:00 | W023 | host=ws-dev-02 | cpu=22.31 mem=48.32 disk_read=133628 disk_write=50280 net_in=5718 net_out=4204 proc_count=125 open_files=382 | hint=dev-shell | note=normal baseline
- M001175 | 2026-01-20 12:54:00 | W023 | host=mon-srv-01 | cpu=21.96 mem=59.94 disk_read=143247 disk_write=151014 net_in=16377 net_out=13766 proc_count=120 open_files=424 | hint=prometheus | note=normal baseline
- M001172 | 2026-01-20 12:54:00 | W023 | host=ws-dev-02 | cpu=20.4 mem=48.2 disk_read=158539 disk_write=74300 net_in=5021 net_out=4362 proc_count=122 open_files=385 | hint=dev-shell | note=normal baseline
- M001171 | 2026-01-20 12:54:00 | W023 | host=ws-finance-01 | cpu=19.46 mem=46.73 disk_read=74289 disk_write=66220 net_in=3149 net_out=4806 proc_count=115 open_files=341 | hint=office-apps | note=normal baseline
- M001180 | 2026-01-20 12:55:00 | W023 | host=mon-srv-01 | cpu=22.24 mem=62.17 disk_read=137454 disk_write=127661 net_in=16128 net_out=12172 proc_count=115 open_files=387 | hint=prometheus | note=normal baseline
- M001179 | 2026-01-20 12:55:00 | W023 | host=portal-web-01 | cpu=19.68 mem=53.35 disk_read=79081 disk_write=115788 net_in=12809 net_out=8106 proc_count=104 open_files=328 | hint=nginx | note=normal baseline
- M001177 | 2026-01-20 12:55:00 | W023 | host=ws-dev-02 | cpu=20.16 mem=50.2 disk_read=85172 disk_write=154835 net_in=6961 net_out=5004 proc_count=125 open_files=368 | hint=dev-shell | note=normal baseline
- M001176 | 2026-01-20 12:55:00 | W023 | host=ws-finance-01 | cpu=29.5 mem=52.4 disk_read=84789 disk_write=91318 net_in=3684 net_out=18000 proc_count=126 open_files=341 | hint=syswatch | note=small periodic outbound network peak without matching rich audit context
- M001185 | 2026-01-20 12:56:00 | W023 | host=mon-srv-01 | cpu=26.31 mem=60.53 disk_read=120748 disk_write=203485 net_in=15004 net_out=12935 proc_count=118 open_files=409 | hint=prometheus | note=normal baseline
- M001182 | 2026-01-20 12:56:00 | W023 | host=ws-dev-02 | cpu=20.38 mem=49.85 disk_read=105370 disk_write=130143 net_in=6484 net_out=7728 proc_count=119 open_files=363 | hint=dev-shell | note=normal baseline
- M001190 | 2026-01-20 12:57:00 | W023 | host=mon-srv-01 | cpu=20.66 mem=60.35 disk_read=142296 disk_write=211995 net_in=17186 net_out=6093 proc_count=117 open_files=420 | hint=prometheus | note=normal baseline
- M001189 | 2026-01-20 12:57:00 | W023 | host=portal-web-01 | cpu=19.19 mem=54.87 disk_read=104556 disk_write=115826 net_in=15173 net_out=6931 proc_count=100 open_files=376 | hint=nginx | note=normal baseline
- M001187 | 2026-01-20 12:57:00 | W023 | host=ws-dev-02 | cpu=21.6 mem=49.62 disk_read=122231 disk_write=129000 net_in=8084 net_out=3105 proc_count=127 open_files=325 | hint=dev-shell | note=normal baseline
- M001195 | 2026-01-20 12:58:00 | W023 | host=mon-srv-01 | cpu=18.72 mem=61.39 disk_read=96176 disk_write=185148 net_in=16340 net_out=11614 proc_count=118 open_files=410 | hint=prometheus | note=normal baseline
- M001194 | 2026-01-20 12:58:00 | W023 | host=portal-web-01 | cpu=20.7 mem=54.92 disk_read=59886 disk_write=92553 net_in=6098 net_out=3547 proc_count=101 open_files=356 | hint=nginx | note=normal baseline
- M001192 | 2026-01-20 12:58:00 | W023 | host=ws-dev-02 | cpu=20.32 mem=51.13 disk_read=134819 disk_write=112416 net_in=4371 net_out=7155 proc_count=129 open_files=317 | hint=dev-shell | note=normal baseline
- M001200 | 2026-01-20 12:59:00 | W023 | host=mon-srv-01 | cpu=22.46 mem=61.12 disk_read=146786 disk_write=95275 net_in=15191 net_out=10297 proc_count=115 open_files=405 | hint=prometheus | note=normal baseline
- M001199 | 2026-01-20 12:59:00 | W023 | host=portal-web-01 | cpu=19.23 mem=54.9 disk_read=105022 disk_write=140479 net_in=12996 net_out=8560 proc_count=105 open_files=364 | hint=nginx | note=normal baseline
- M001196 | 2026-01-20 12:59:00 | W023 | host=ws-finance-01 | cpu=18.95 mem=43.24 disk_read=96233 disk_write=88346 net_in=5338 net_out=5735 proc_count=110 open_files=322 | hint=office-apps | note=normal baseline

### Host metric clue events
- ME0011 | 2026-01-20 12:50:00~2026-01-20 13:20:00 | W023 | host=ws-finance-01 event_type=continued_c2_periodicity metric=net_out_bytes z=4.2 | hint=syswatch | desc=continued beacon-like behavior across neighboring windows

---

## Window W024

### Observed corrupted audit log snippets
- B002269 | 2026-01-20 13:00:05 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002270 | 2026-01-20 13:00:09 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002285 | 2026-01-20 13:00:10 | W024 | host=file-srv-01 user=svc_backup process=smbd | smbd:1201@file-srv-01 --write--> /srv/share/dev/release_notes.txt.lock (file) | cmd=write | args=benign lock/update file created by share service
- B002271 | 2026-01-20 13:00:11 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002275 | 2026-01-20 13:00:11 | W024 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B002282 | 2026-01-20 13:00:12 | W024 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --connect--> 192.0.2.30:443 (socket) | cmd=connect | args=normal package/source repository access
- B002272 | 2026-01-20 13:00:14 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002283 | 2026-01-20 13:00:15 | W024 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --write--> /home/u_dev/src/portal/app/config.yaml (file) | cmd=write | args=normal development file/cache update
- B002277 | 2026-01-20 13:00:19 | W024 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B002278 | 2026-01-20 13:00:20 | W024 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B002274 | 2026-01-20 13:00:24 | W024 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B002280 | 2026-01-20 13:00:36 | W024 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B002281 | 2026-01-20 13:00:38 | W024 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B005089 | 2026-01-20 13:00:43 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B002273 | 2026-01-20 13:00:44 | W024 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B004009 | 2026-01-20 13:00:47 | W024 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B002287 | 2026-01-20 13:00:48 | W024 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002276 | 2026-01-20 13:00:52 | W024 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B004110 | 2026-01-20 13:01:03 | W024 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B004574 | 2026-01-20 13:01:06 | W024 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B003729 | 2026-01-20 13:01:20 | W024 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002290 | 2026-01-20 13:01:37 | W024 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B002293 | 2026-01-20 13:01:44 | W024 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002289 | 2026-01-20 13:01:48 | W024 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002294 | 2026-01-20 13:02:03 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002296 | 2026-01-20 13:02:03 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002297 | 2026-01-20 13:02:04 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002298 | 2026-01-20 13:02:08 | W024 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002295 | 2026-01-20 13:02:10 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B004258 | 2026-01-20 13:02:17 | W024 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002302 | 2026-01-20 13:02:35 | W024 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B005467 | 2026-01-20 13:02:54 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B002304 | 2026-01-20 13:03:13 | W024 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B002305 | 2026-01-20 13:03:14 | W024 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B002303 | 2026-01-20 13:03:16 | W024 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B003571 | 2026-01-20 13:03:21 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B003646 | 2026-01-20 13:03:23 | W024 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B002309 | 2026-01-20 13:03:30 | W024 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B004911 | 2026-01-20 13:03:31 | W024 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B002306 | 2026-01-20 13:03:31 | W024 | host=file-srv-01 user=svc_backup process=backup-agent | backup-agent:1230@file-srv-01 --connect--> 10.20.1.41:873 (socket) | cmd=connect | args=backup metadata sync to monitoring server
- B004175 | 2026-01-20 13:03:32 | W024 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B002314 | 2026-01-20 13:04:14 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002313 | 2026-01-20 13:04:14 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002312 | 2026-01-20 13:04:15 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B004928 | 2026-01-20 13:04:16 | W024 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B002311 | 2026-01-20 13:04:18 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002317 | 2026-01-20 13:04:21 | W024 | host=ws-dev-02 user=u_dev process=python3 | python3:2250@ws-dev-02 --execute--> /home/u_dev/src/portal/app/config.yaml (file) | cmd=read | args=normal local development/test activity
- B002320 | 2026-01-20 13:04:23 | W024 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002322 | 2026-01-20 13:04:26 | W024 | host=portal-web-01 user=svc_web process=logrotate | logrotate:1335@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=create new access log
- B004151 | 2026-01-20 13:04:28 | W024 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B002315 | 2026-01-20 13:04:29 | W024 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B005204 | 2026-01-20 13:05:03 | W024 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B002326 | 2026-01-20 13:05:14 | W024 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B003579 | 2026-01-20 13:05:14 | W024 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B002324 | 2026-01-20 13:05:18 | W024 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B004954 | 2026-01-20 13:05:20 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B002323 | 2026-01-20 13:05:22 | W024 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002327 | 2026-01-20 13:05:26 | W024 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B002328 | 2026-01-20 13:05:28 | W024 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B002331 | 2026-01-20 13:05:38 | W024 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002325 | 2026-01-20 13:05:54 | W024 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B005194 | 2026-01-20 13:05:58 | W024 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B002332 | 2026-01-20 13:06:05 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B003613 | 2026-01-20 13:06:06 | W024 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B002333 | 2026-01-20 13:06:07 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002337 | 2026-01-20 13:06:10 | W024 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B002338 | 2026-01-20 13:06:11 | W024 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B002335 | 2026-01-20 13:06:15 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002339 | 2026-01-20 13:06:16 | W024 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B002334 | 2026-01-20 13:06:18 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002336 | 2026-01-20 13:06:24 | W024 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B003928 | 2026-01-20 13:06:33 | W024 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B005299 | 2026-01-20 13:06:40 | W024 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B002343 | 2026-01-20 13:06:50 | W024 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B005175 | 2026-01-20 13:06:51 | W024 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B005569 | 2026-01-20 13:07:00 | W024 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B002345 | 2026-01-20 13:07:03 | W024 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002348 | 2026-01-20 13:07:23 | W024 | host=ws-dev-02 user=u_dev process=bash | bash:2232@ws-dev-02 --execute--> /home/u_dev/src/portal/tests/test_api.py (file) | cmd=execute | args=normal local development/test activity
- B002346 | 2026-01-20 13:07:23 | W024 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --connect--> 192.0.2.30:443 (socket) | cmd=connect | args=normal package/source repository access
- B002347 | 2026-01-20 13:07:26 | W024 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --write--> /home/u_dev/src/portal/app/config.yaml (file) | cmd=write | args=normal development file/cache update
- B005376 | 2026-01-20 13:07:36 | W024 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B005063 | 2026-01-20 13:07:43 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B003680 | 2026-01-20 13:07:50 | W024 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B005206 | 2026-01-20 13:07:50 | W024 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002352 | 2026-01-20 13:08:03 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002353 | 2026-01-20 13:08:11 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002351 | 2026-01-20 13:08:12 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002354 | 2026-01-20 13:08:14 | W024 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002361 | 2026-01-20 13:09:14 | W024 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B002363 | 2026-01-20 13:09:18 | W024 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /home/u_dev/src/portal/tests/test_api.py (file) | cmd=execute | args=normal local development/test activity
- ... 68 additional audit rows omitted for W024

### Network flow side-view evidence
- BF000881 | 2026-01-20 13:00:07~2026-01-20 13:00:12 | W024 | mon-srv-01 10.20.1.41:42234 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1157 bytes_in=6335 | related_audit=B002270
- BF000889 | 2026-01-20 13:00:12~2026-01-20 13:00:37 | W024 | ws-dev-02 10.20.1.12:43795 -> 192.0.2.30:443 | service=HTTPS pattern=dev_repo_access | bytes_out=5783 bytes_in=139892 | related_audit=B002282
- BF000886 | 2026-01-20 13:00:13~2026-01-20 13:00:20 | W024 | mon-srv-01 10.20.1.41:52483 -> 10.20.1.31:6514 | service=SYSLOG pattern=log_collection | bytes_out=2077 bytes_in=14767 | related_audit=B002276
- BF000880 | 2026-01-20 13:00:15~2026-01-20 13:00:21 | W024 | mon-srv-01 10.20.1.41:57183 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1335 bytes_in=4617 | related_audit=B002269
- BF000887 | 2026-01-20 13:00:19~2026-01-20 13:00:25 | W024 | ws-finance-01 10.20.1.11:45153 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=2397 bytes_in=49241 | related_audit=B002277
