# Target corrupted window: W006
Neighbor context C_t = ['W005', 'W006', 'W007']
Stage-1 inconsistency clues for target: corruption_score=15.180328959477244, unsupported_flow_count=3, unsupported_external_flow_count=1, unsupported_metric_clue_count=1, unsupported_metric_zsum=4.8

Important instruction: recover missing audit events only for the TARGET window, not for neighboring windows.
Neighboring windows are provided only for temporal continuity.

## Window W005

### Observed corrupted audit log snippets
- B004044 | 2026-01-20 09:50:04 | W005 | host=ws-dev-02 user=u_dev process=docker | docker:2244@ws-dev-02 --read--> /var/lib/docker/containers/config.v2.json (file) | cmd=read | args=normal docker metadata read
- BF000220 | 2026-01-20 09:58:41~2026-01-20 09:59:09 | W005 | ws-dev-02 10.20.1.12:47355 -> 192.0.2.30:443 | service=HTTPS pattern=dev_repo_access | bytes_out=9737 bytes_in=210254 | related_audit=B000561

### Host metric samples
- M000255 | 2026-01-20 09:50:00 | W005 | host=mon-srv-01 | cpu=25.99 mem=64.08 disk_read=92578 disk_write=117442 net_in=13099 net_out=7790 proc_count=115 open_files=384 | hint=prometheus | note=normal baseline
- M000252 | 2026-01-20 09:50:00 | W005 | host=ws-dev-02 | cpu=24.6 mem=51.58 disk_read=91557 disk_write=105856 net_in=4762 net_out=5419 proc_count=124 open_files=365 | hint=dev-shell | note=normal baseline
- M000260 | 2026-01-20 09:51:00 | W005 | host=mon-srv-01 | cpu=22.53 mem=64.87 disk_read=144272 disk_write=204408 net_in=11604 net_out=16988 proc_count=117 open_files=407 | hint=prometheus | note=normal baseline
- M000259 | 2026-01-20 09:51:00 | W005 | host=portal-web-01 | cpu=21.29 mem=57.58 disk_read=87074 disk_write=115329 net_in=6372 net_out=8109 proc_count=103 open_files=390 | hint=nginx | note=normal baseline
- M000257 | 2026-01-20 09:51:00 | W005 | host=ws-dev-02 | cpu=24.59 mem=51.42 disk_read=125516 disk_write=86726 net_in=5972 net_out=3826 proc_count=125 open_files=381 | hint=dev-shell | note=normal baseline
- M000265 | 2026-01-20 09:52:00 | W005 | host=mon-srv-01 | cpu=28.49 mem=62.83 disk_read=127580 disk_write=209315 net_in=11798 net_out=10891 proc_count=117 open_files=421 | hint=prometheus | note=normal baseline
- M000264 | 2026-01-20 09:52:00 | W005 | host=portal-web-01 | cpu=21.38 mem=57.33 disk_read=106859 disk_write=96016 net_in=6947 net_out=6745 proc_count=100 open_files=359 | hint=nginx | note=normal baseline
- M000261 | 2026-01-20 09:52:00 | W005 | host=ws-finance-01 | cpu=34.6 mem=48.7 disk_read=162000 disk_write=118000 net_in=8200 net_out=7900 proc_count=123 open_files=361 | hint=update-check | note=light internal discovery/probing activity
- M000270 | 2026-01-20 09:53:00 | W005 | host=mon-srv-01 | cpu=22.39 mem=62.94 disk_read=131532 disk_write=151820 net_in=18238 net_out=7993 proc_count=120 open_files=346 | hint=prometheus | note=normal baseline
- M000267 | 2026-01-20 09:53:00 | W005 | host=ws-dev-02 | cpu=23.42 mem=51.28 disk_read=114619 disk_write=100729 net_in=4501 net_out=6951 proc_count=126 open_files=357 | hint=dev-shell | note=normal baseline
- M000275 | 2026-01-20 09:54:00 | W005 | host=mon-srv-01 | cpu=27.5 mem=63.35 disk_read=97993 disk_write=273689 net_in=13785 net_out=9937 proc_count=114 open_files=377 | hint=prometheus | note=normal baseline
- M000272 | 2026-01-20 09:54:00 | W005 | host=ws-dev-02 | cpu=24.04 mem=50.59 disk_read=131076 disk_write=112553 net_in=6064 net_out=5361 proc_count=125 open_files=357 | hint=dev-shell | note=normal baseline
- M000280 | 2026-01-20 09:55:00 | W005 | host=mon-srv-01 | cpu=28.07 mem=61.62 disk_read=137641 disk_write=188577 net_in=18053 net_out=12182 proc_count=120 open_files=399 | hint=prometheus | note=normal baseline
- M000279 | 2026-01-20 09:55:00 | W005 | host=portal-web-01 | cpu=21.7 mem=57.43 disk_read=94743 disk_write=118271 net_in=8325 net_out=7274 proc_count=107 open_files=360 | hint=nginx | note=normal baseline
- M000277 | 2026-01-20 09:55:00 | W005 | host=ws-dev-02 | cpu=24.05 mem=52.53 disk_read=139700 disk_write=135465 net_in=4745 net_out=5020 proc_count=122 open_files=333 | hint=dev-shell | note=normal baseline
- M000276 | 2026-01-20 09:55:00 | W005 | host=ws-finance-01 | cpu=22.41 mem=48.48 disk_read=82810 disk_write=53735 net_in=3850 net_out=2884 proc_count=108 open_files=316 | hint=office-apps | note=normal baseline
- M000285 | 2026-01-20 09:56:00 | W005 | host=mon-srv-01 | cpu=26.28 mem=64.59 disk_read=138441 disk_write=221131 net_in=16824 net_out=9448 proc_count=119 open_files=421 | hint=prometheus | note=normal baseline
- M000284 | 2026-01-20 09:56:00 | W005 | host=portal-web-01 | cpu=23.68 mem=56.36 disk_read=98168 disk_write=141049 net_in=8446 net_out=7161 proc_count=102 open_files=342 | hint=nginx | note=normal baseline
- M000282 | 2026-01-20 09:56:00 | W005 | host=ws-dev-02 | cpu=25.45 mem=52.11 disk_read=78181 disk_write=158406 net_in=2868 net_out=4933 proc_count=128 open_files=335 | hint=dev-shell | note=normal baseline
- M000281 | 2026-01-20 09:56:00 | W005 | host=ws-finance-01 | cpu=21.34 mem=48.36 disk_read=109432 disk_write=95703 net_in=2954 net_out=4486 proc_count=110 open_files=309 | hint=office-apps | note=normal baseline
- M000290 | 2026-01-20 09:57:00 | W005 | host=mon-srv-01 | cpu=25.13 mem=65.74 disk_read=110570 disk_write=213333 net_in=16319 net_out=10314 proc_count=119 open_files=430 | hint=prometheus | note=normal baseline
- M000289 | 2026-01-20 09:57:00 | W005 | host=portal-web-01 | cpu=26.08 mem=58.71 disk_read=61785 disk_write=128785 net_in=10572 net_out=10184 proc_count=99 open_files=347 | hint=nginx | note=normal baseline
- M000287 | 2026-01-20 09:57:00 | W005 | host=ws-dev-02 | cpu=23.3 mem=50.5 disk_read=63572 disk_write=88989 net_in=6381 net_out=4863 proc_count=126 open_files=349 | hint=dev-shell | note=normal baseline
- M000286 | 2026-01-20 09:57:00 | W005 | host=ws-finance-01 | cpu=23.95 mem=47.7 disk_read=87914 disk_write=85954 net_in=4095 net_out=3320 proc_count=112 open_files=356 | hint=office-apps | note=normal baseline
- M000293 | 2026-01-20 09:58:00 | W005 | host=file-srv-01 | cpu=22.61 mem=44.52 disk_read=163180 disk_write=84461 net_in=8174 net_out=10854 proc_count=93 open_files=413 | hint=smbd | note=normal baseline
- M000295 | 2026-01-20 09:58:00 | W005 | host=mon-srv-01 | cpu=30.67 mem=63.7 disk_read=85948 disk_write=183118 net_in=14586 net_out=10401 proc_count=116 open_files=398 | hint=prometheus | note=normal baseline
- M000292 | 2026-01-20 09:58:00 | W005 | host=ws-dev-02 | cpu=23.45 mem=51.01 disk_read=159906 disk_write=134146 net_in=6316 net_out=5950 proc_count=126 open_files=345 | hint=dev-shell | note=normal baseline
- M000300 | 2026-01-20 09:59:00 | W005 | host=mon-srv-01 | cpu=28.66 mem=63.64 disk_read=159563 disk_write=175824 net_in=11948 net_out=6383 proc_count=120 open_files=361 | hint=prometheus | note=normal baseline
- M000299 | 2026-01-20 09:59:00 | W005 | host=portal-web-01 | cpu=22.17 mem=58.22 disk_read=98563 disk_write=139411 net_in=7435 net_out=10710 proc_count=102 open_files=397 | hint=nginx | note=normal baseline
- M000297 | 2026-01-20 09:59:00 | W005 | host=ws-dev-02 | cpu=22.12 mem=52.97 disk_read=130612 disk_write=93381 net_in=5535 net_out=6493 proc_count=126 open_files=381 | hint=dev-shell | note=normal baseline

### Host metric clue events
- none

---

## Window W006

### Observed corrupted audit log snippets
- B004846 | 2026-01-20 10:00:00 | W006 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B000573 | 2026-01-20 10:00:07 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000571 | 2026-01-20 10:00:10 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000583 | 2026-01-20 10:00:10 | W006 | host=ws-dev-02 user=u_dev process=python3 | python3:2232@ws-dev-02 --execute--> /home/u_dev/src/portal/app/config.yaml (file) | cmd=read | args=normal local development/test activity
- B000578 | 2026-01-20 10:00:11 | W006 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B003634 | 2026-01-20 10:00:11 | W006 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B000579 | 2026-01-20 10:00:12 | W006 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B000570 | 2026-01-20 10:00:13 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000576 | 2026-01-20 10:00:13 | W006 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B000572 | 2026-01-20 10:00:15 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000574 | 2026-01-20 10:00:16 | W006 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B000581 | 2026-01-20 10:00:16 | W006 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B000582 | 2026-01-20 10:00:18 | W006 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B005355 | 2026-01-20 10:00:18 | W006 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B004673 | 2026-01-20 10:00:43 | W006 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B000586 | 2026-01-20 10:00:45 | W006 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000575 | 2026-01-20 10:00:46 | W006 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B000577 | 2026-01-20 10:00:50 | W006 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B000589 | 2026-01-20 10:01:10 | W006 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B004469 | 2026-01-20 10:01:30 | W006 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B000593 | 2026-01-20 10:01:31 | W006 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B005539 | 2026-01-20 10:01:34 | W006 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B000588 | 2026-01-20 10:01:34 | W006 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B005239 | 2026-01-20 10:01:38 | W006 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B000595 | 2026-01-20 10:02:05 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000597 | 2026-01-20 10:02:12 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000598 | 2026-01-20 10:02:13 | W006 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B000594 | 2026-01-20 10:02:14 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000596 | 2026-01-20 10:02:16 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000602 | 2026-01-20 10:02:21 | W006 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000599 | 2026-01-20 10:02:30 | W006 | host=ws-dev-02 user=u_dev process=python3 | python3:2250@ws-dev-02 --execute--> /home/u_dev/src/portal/app/config.yaml (file) | cmd=read | args=normal local development/test activity
- B000610 | 2026-01-20 10:03:27 | W006 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000607 | 2026-01-20 10:03:35 | W006 | host=file-srv-01 user=svc_backup process=backup-agent | backup-agent:1230@file-srv-01 --connect--> 10.20.1.41:873 (socket) | cmd=connect | args=backup metadata sync to monitoring server
- B000604 | 2026-01-20 10:03:36 | W006 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B000605 | 2026-01-20 10:03:37 | W006 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B000603 | 2026-01-20 10:03:41 | W006 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B000606 | 2026-01-20 10:03:54 | W006 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /home/u_dev/src/portal/requirements.txt (file) | cmd=read | args=normal local development/test activity
- B000621 | 2026-01-20 10:04:03 | W006 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000613 | 2026-01-20 10:04:10 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000615 | 2026-01-20 10:04:12 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000623 | 2026-01-20 10:04:13 | W006 | host=portal-web-01 user=svc_web process=logrotate | logrotate:1335@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=create new access log
- B004256 | 2026-01-20 10:04:14 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B000614 | 2026-01-20 10:04:14 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000612 | 2026-01-20 10:04:18 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000616 | 2026-01-20 10:04:21 | W006 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B004528 | 2026-01-20 10:04:43 | W006 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B004645 | 2026-01-20 10:04:52 | W006 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B000633 | 2026-01-20 10:05:20 | W006 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B000628 | 2026-01-20 10:05:24 | W006 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B000629 | 2026-01-20 10:05:26 | W006 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B000624 | 2026-01-20 10:05:29 | W006 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B005260 | 2026-01-20 10:05:32 | W006 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B000630 | 2026-01-20 10:05:32 | W006 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --connect--> 192.0.2.30:443 (socket) | cmd=connect | args=normal package/source repository access
- B000631 | 2026-01-20 10:05:35 | W006 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --write--> /home/u_dev/src/portal/app/config.yaml (file) | cmd=write | args=normal development file/cache update
- B000625 | 2026-01-20 10:05:38 | W006 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B004773 | 2026-01-20 10:05:39 | W006 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B004828 | 2026-01-20 10:05:48 | W006 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B000627 | 2026-01-20 10:05:48 | W006 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B000626 | 2026-01-20 10:05:53 | W006 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B005064 | 2026-01-20 10:05:54 | W006 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B000637 | 2026-01-20 10:06:02 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B000636 | 2026-01-20 10:06:02 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000634 | 2026-01-20 10:06:08 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000635 | 2026-01-20 10:06:12 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000639 | 2026-01-20 10:06:16 | W006 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B000640 | 2026-01-20 10:06:17 | W006 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B000646 | 2026-01-20 10:06:20 | W006 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B003824 | 2026-01-20 10:06:28 | W006 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B005250 | 2026-01-20 10:06:29 | W006 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B004554 | 2026-01-20 10:06:30 | W006 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B004115 | 2026-01-20 10:06:31 | W006 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B000638 | 2026-01-20 10:06:35 | W006 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B000643 | 2026-01-20 10:06:39 | W006 | host=ws-dev-02 user=u_dev process=bash | bash:2232@ws-dev-02 --execute--> /home/u_dev/src/portal/app/config.yaml (file) | cmd=read | args=normal local development/test activity
- B000641 | 2026-01-20 10:06:40 | W006 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B004010 | 2026-01-20 10:06:57 | W006 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B000649 | 2026-01-20 10:07:07 | W006 | host=ws-dev-02 user=u_dev process=bash | bash:2232@ws-dev-02 --execute--> /home/u_dev/src/portal/tests/test_api.py (file) | cmd=execute | args=normal local development/test activity
- B004103 | 2026-01-20 10:07:22 | W006 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B000651 | 2026-01-20 10:07:25 | W006 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B004639 | 2026-01-20 10:07:36 | W006 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B000648 | 2026-01-20 10:07:40 | W006 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B005515 | 2026-01-20 10:07:42 | W006 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B000654 | 2026-01-20 10:08:03 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B000653 | 2026-01-20 10:08:04 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B000652 | 2026-01-20 10:08:08 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B000655 | 2026-01-20 10:08:16 | W006 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- E0020 | 2026-01-20 10:08:30 | W006 | host=ws-finance-01 user=root process=cron | cron:902@ws-finance-01 --read--> /etc/cron.d/syswatch (file) | cmd=read | args=cron loads new persistence entry
- B004921 | 2026-01-20 10:08:37 | W006 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B005124 | 2026-01-20 10:09:02 | W006 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B000664 | 2026-01-20 10:09:20 | W006 | host=ws-dev-02 user=u_dev process=python3 | python3:2250@ws-dev-02 --execute--> /var/lib/docker/tmp/build-context.tar (file) | cmd=read | args=normal local development/test activity
- B000662 | 2026-01-20 10:09:39 | W006 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- ... 74 additional audit rows omitted for W006

### Network flow side-view evidence
- BF000222 | 2026-01-20 10:00:08~2026-01-20 10:00:14 | W006 | mon-srv-01 10.20.1.41:44160 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1220 bytes_in=4539 | related_audit=B000571
- BF000228 | 2026-01-20 10:00:11~2026-01-20 10:00:18 | W006 | ws-finance-01 10.20.1.11:46423 -> 10.20.1.31:443 | service=HTTPS pattern=portal_browsing | bytes_out=3095 bytes_in=17960 | related_audit=B000578
- BF000223 | 2026-01-20 10:00:12~2026-01-20 10:00:15 | W006 | mon-srv-01 10.20.1.41:42609 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1115 bytes_in=4611 | related_audit=B000572
- BF000221 | 2026-01-20 10:00:14~2026-01-20 10:00:20 | W006 | mon-srv-01 10.20.1.41:45977 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1405 bytes_in=7597 | related_audit=B000570
- BF000229 | 2026-01-20 10:00:16~2026-01-20 10:00:29 | W006 | ws-finance-01 10.20.1.11:44899 -> 192.0.2.40:993 | service=IMAPS pattern=mail_sync | bytes_out=3882 bytes_in=37586 | related_audit=B000581
- BF000224 | 2026-01-20 10:00:19~2026-01-20 10:00:21 | W006 | mon-srv-01 10.20.1.41:56704 -> 10.20.1.31:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1088 bytes_in=5492 | related_audit=B000573
