# Target corrupted window: W021
Neighbor context C_t = ['W020', 'W021', 'W022']
Stage-1 inconsistency clues for target: corruption_score=18.870801988842032, unsupported_flow_count=5, unsupported_external_flow_count=3, unsupported_metric_clue_count=1, unsupported_metric_zsum=4.5

Important instruction: recover missing audit events only for the TARGET window, not for neighboring windows.
Neighboring windows are provided only for temporal continuity.

## Window W020

### Observed corrupted audit log snippets
- B001896 | 2026-01-20 12:20:05 | W020 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- BF000768 | 2026-01-20 12:28:17~2026-01-20 12:28:21 | W020 | mon-srv-01 10.20.1.41:55880 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=952 bytes_in=8917 | related_audit=B001976
- BF000766 | 2026-01-20 12:28:19~2026-01-20 12:28:23 | W020 | mon-srv-01 10.20.1.41:56461 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=996 bytes_in=7036 | related_audit=B001974

### Host metric samples
- M001005 | 2026-01-20 12:20:00 | W020 | host=mon-srv-01 | cpu=22.38 mem=61.12 disk_read=168073 disk_write=135680 net_in=18078 net_out=7245 proc_count=116 open_files=416 | hint=prometheus | note=normal baseline
- M001004 | 2026-01-20 12:20:00 | W020 | host=portal-web-01 | cpu=39.9 mem=57.1 disk_read=119246 disk_write=620000 net_in=9076 net_out=8542 proc_count=118 open_files=379 | hint=portal-sync | note=helper state write
- M001002 | 2026-01-20 12:20:00 | W020 | host=ws-dev-02 | cpu=25.04 mem=50.03 disk_read=129670 disk_write=150230 net_in=5616 net_out=6269 proc_count=126 open_files=360 | hint=dev-shell | note=normal baseline
- M001001 | 2026-01-20 12:20:00 | W020 | host=ws-finance-01 | cpu=19.49 mem=47.75 disk_read=78959 disk_write=79882 net_in=4448 net_out=2690 proc_count=112 open_files=303 | hint=office-apps | note=normal baseline
- M001010 | 2026-01-20 12:21:00 | W020 | host=mon-srv-01 | cpu=23.2 mem=63.09 disk_read=114957 disk_write=146958 net_in=19347 net_out=6675 proc_count=116 open_files=420 | hint=prometheus | note=normal baseline
- M001009 | 2026-01-20 12:21:00 | W020 | host=portal-web-01 | cpu=18.02 mem=56.3 disk_read=90393 disk_write=107399 net_in=10726 net_out=6660 proc_count=99 open_files=365 | hint=nginx | note=normal baseline
- M001007 | 2026-01-20 12:21:00 | W020 | host=ws-dev-02 | cpu=19.84 mem=48.86 disk_read=139576 disk_write=71246 net_in=7663 net_out=4515 proc_count=131 open_files=362 | hint=dev-shell | note=normal baseline
- M001015 | 2026-01-20 12:22:00 | W020 | host=mon-srv-01 | cpu=24.02 mem=61.37 disk_read=118469 disk_write=163299 net_in=13905 net_out=6989 proc_count=119 open_files=434 | hint=prometheus | note=normal baseline
- M001014 | 2026-01-20 12:22:00 | W020 | host=portal-web-01 | cpu=17.84 mem=57.6 disk_read=99038 disk_write=127763 net_in=7085 net_out=5008 proc_count=102 open_files=346 | hint=nginx | note=normal baseline
- M001012 | 2026-01-20 12:22:00 | W020 | host=ws-dev-02 | cpu=19.07 mem=50.04 disk_read=120496 disk_write=131043 net_in=4152 net_out=6413 proc_count=122 open_files=344 | hint=dev-shell | note=normal baseline
- M001020 | 2026-01-20 12:23:00 | W020 | host=mon-srv-01 | cpu=23.84 mem=62.72 disk_read=106638 disk_write=164669 net_in=12780 net_out=10281 proc_count=112 open_files=387 | hint=prometheus | note=normal baseline
- M001017 | 2026-01-20 12:23:00 | W020 | host=ws-dev-02 | cpu=22.14 mem=50.15 disk_read=103774 disk_write=120132 net_in=6364 net_out=6135 proc_count=122 open_files=361 | hint=dev-shell | note=normal baseline
- M001025 | 2026-01-20 12:24:00 | W020 | host=mon-srv-01 | cpu=26.5 mem=62.36 disk_read=108851 disk_write=197483 net_in=14571 net_out=9398 proc_count=120 open_files=436 | hint=prometheus | note=normal baseline
- M001021 | 2026-01-20 12:24:00 | W020 | host=ws-finance-01 | cpu=21.01 mem=45.33 disk_read=86407 disk_write=97921 net_in=3592 net_out=2731 proc_count=117 open_files=298 | hint=office-apps | note=normal baseline
- M001030 | 2026-01-20 12:25:00 | W020 | host=mon-srv-01 | cpu=25.03 mem=61.24 disk_read=150867 disk_write=191141 net_in=12537 net_out=10855 proc_count=116 open_files=401 | hint=prometheus | note=normal baseline
- M001029 | 2026-01-20 12:25:00 | W020 | host=portal-web-01 | cpu=26.24 mem=55.07 disk_read=92441 disk_write=104867 net_in=9725 net_out=8177 proc_count=103 open_files=390 | hint=nginx | note=normal baseline
- M001027 | 2026-01-20 12:25:00 | W020 | host=ws-dev-02 | cpu=18.38 mem=49.52 disk_read=118887 disk_write=120781 net_in=4206 net_out=5473 proc_count=127 open_files=354 | hint=dev-shell | note=normal baseline
- M001035 | 2026-01-20 12:26:00 | W020 | host=mon-srv-01 | cpu=24.53 mem=61.15 disk_read=154500 disk_write=174497 net_in=11902 net_out=10204 proc_count=116 open_files=443 | hint=prometheus | note=normal baseline
- M001034 | 2026-01-20 12:26:00 | W020 | host=portal-web-01 | cpu=18.09 mem=54.96 disk_read=97192 disk_write=123804 net_in=11614 net_out=8641 proc_count=104 open_files=397 | hint=nginx | note=normal baseline
- M001032 | 2026-01-20 12:26:00 | W020 | host=ws-dev-02 | cpu=21.02 mem=52.26 disk_read=158877 disk_write=71510 net_in=4642 net_out=4956 proc_count=126 open_files=374 | hint=dev-shell | note=normal baseline
- M001040 | 2026-01-20 12:27:00 | W020 | host=mon-srv-01 | cpu=24.92 mem=62.92 disk_read=104974 disk_write=208666 net_in=14929 net_out=6616 proc_count=120 open_files=429 | hint=prometheus | note=normal baseline
- M001039 | 2026-01-20 12:27:00 | W020 | host=portal-web-01 | cpu=18.77 mem=56.05 disk_read=92410 disk_write=117880 net_in=13625 net_out=7708 proc_count=105 open_files=382 | hint=nginx | note=normal baseline
- M001037 | 2026-01-20 12:27:00 | W020 | host=ws-dev-02 | cpu=22.82 mem=49.05 disk_read=116602 disk_write=93493 net_in=5673 net_out=6823 proc_count=125 open_files=381 | hint=dev-shell | note=normal baseline
- M001036 | 2026-01-20 12:27:00 | W020 | host=ws-finance-01 | cpu=18.37 mem=45.79 disk_read=118080 disk_write=79093 net_in=4870 net_out=3688 proc_count=105 open_files=311 | hint=office-apps | note=normal baseline
- M001043 | 2026-01-20 12:28:00 | W020 | host=file-srv-01 | cpu=18.41 mem=43.49 disk_read=186815 disk_write=111191 net_in=8034 net_out=7362 proc_count=94 open_files=422 | hint=smbd | note=normal baseline
- M001045 | 2026-01-20 12:28:00 | W020 | host=mon-srv-01 | cpu=24.26 mem=61.73 disk_read=147632 disk_write=165612 net_in=14617 net_out=10353 proc_count=120 open_files=431 | hint=prometheus | note=normal baseline
- M001042 | 2026-01-20 12:28:00 | W020 | host=ws-dev-02 | cpu=24.03 mem=49.52 disk_read=132114 disk_write=122633 net_in=6000 net_out=4367 proc_count=127 open_files=368 | hint=dev-shell | note=normal baseline
- M001050 | 2026-01-20 12:29:00 | W020 | host=mon-srv-01 | cpu=21.95 mem=61.25 disk_read=174355 disk_write=163386 net_in=14057 net_out=11538 proc_count=121 open_files=410 | hint=prometheus | note=normal baseline
- M001049 | 2026-01-20 12:29:00 | W020 | host=portal-web-01 | cpu=18.44 mem=57.05 disk_read=97156 disk_write=110889 net_in=7043 net_out=6800 proc_count=98 open_files=358 | hint=nginx | note=normal baseline
- M001047 | 2026-01-20 12:29:00 | W020 | host=ws-dev-02 | cpu=18.63 mem=51.56 disk_read=92523 disk_write=128692 net_in=5369 net_out=5231 proc_count=129 open_files=381 | hint=dev-shell | note=normal baseline

### Host metric clue events
- none

---

## Window W021

### Observed corrupted audit log snippets
- B004056 | 2026-01-20 12:30:05 | W021 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B001990 | 2026-01-20 12:30:07 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B001993 | 2026-01-20 12:30:07 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B001991 | 2026-01-20 12:30:08 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B001994 | 2026-01-20 12:30:08 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B001995 | 2026-01-20 12:30:10 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B002000 | 2026-01-20 12:30:11 | W021 | host=ws-dev-02 user=u_dev process=python3 | python3:2250@ws-dev-02 --execute--> /var/lib/docker/tmp/build-context.tar (file) | cmd=read | args=normal local development/test activity
- B001998 | 2026-01-20 12:30:12 | W021 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B003987 | 2026-01-20 12:30:13 | W021 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B001999 | 2026-01-20 12:30:14 | W021 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B005458 | 2026-01-20 12:30:17 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B001988 | 2026-01-20 12:30:18 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B001989 | 2026-01-20 12:30:18 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002003 | 2026-01-20 12:30:22 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B001992 | 2026-01-20 12:30:30 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B003568 | 2026-01-20 12:30:46 | W021 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B001996 | 2026-01-20 12:30:50 | W021 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B001997 | 2026-01-20 12:30:51 | W021 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B004395 | 2026-01-20 12:31:00 | W021 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B002005 | 2026-01-20 12:31:02 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B003576 | 2026-01-20 12:31:08 | W021 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B004185 | 2026-01-20 12:31:11 | W021 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B002009 | 2026-01-20 12:31:12 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B005247 | 2026-01-20 12:31:13 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B002006 | 2026-01-20 12:31:29 | W021 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B004581 | 2026-01-20 12:31:30 | W021 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B004074 | 2026-01-20 12:31:35 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B005144 | 2026-01-20 12:32:00 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B002012 | 2026-01-20 12:32:03 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002013 | 2026-01-20 12:32:05 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002011 | 2026-01-20 12:32:15 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002010 | 2026-01-20 12:32:15 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B003827 | 2026-01-20 12:32:19 | W021 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B002014 | 2026-01-20 12:32:19 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002016 | 2026-01-20 12:32:23 | W021 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --connect--> 192.0.2.30:443 (socket) | cmd=connect | args=normal package/source repository access
- B002020 | 2026-01-20 12:32:24 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002017 | 2026-01-20 12:32:26 | W021 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --write--> /home/u_dev/src/portal/tests/test_api.py (file) | cmd=write | args=normal development file/cache update
- B004734 | 2026-01-20 12:32:36 | W021 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B003966 | 2026-01-20 12:32:40 | W021 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B004931 | 2026-01-20 12:33:00 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B002022 | 2026-01-20 12:33:06 | W021 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B002023 | 2026-01-20 12:33:07 | W021 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --write--> /home/u_fin/.cache/mozilla/portal-cache.sqlite (file) | cmd=write | args=update browser portal cache
- B002021 | 2026-01-20 12:33:09 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002025 | 2026-01-20 12:33:17 | W021 | host=file-srv-01 user=svc_backup process=backup-agent | backup-agent:1230@file-srv-01 --connect--> 10.20.1.41:873 (socket) | cmd=connect | args=backup metadata sync to monitoring server
- B002028 | 2026-01-20 12:33:40 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B004080 | 2026-01-20 12:33:55 | W021 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B003685 | 2026-01-20 12:33:59 | W021 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B002032 | 2026-01-20 12:34:09 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002031 | 2026-01-20 12:34:13 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B002033 | 2026-01-20 12:34:13 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002030 | 2026-01-20 12:34:17 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B004441 | 2026-01-20 12:34:24 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B002034 | 2026-01-20 12:34:26 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002038 | 2026-01-20 12:34:28 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B004144 | 2026-01-20 12:34:36 | W021 | host=file-srv-01 user=svc_backup process=rsyncd | rsyncd:1214@file-srv-01 --write--> /var/log/rsyncd.log (file) | cmd=write | args=normal rsync log append
- B003996 | 2026-01-20 12:34:38 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B002035 | 2026-01-20 12:34:48 | W021 | host=ws-dev-02 user=u_dev process=python3 | python3:2250@ws-dev-02 --execute--> /var/lib/docker/tmp/build-context.tar (file) | cmd=read | args=normal local development/test activity
- B002041 | 2026-01-20 12:35:19 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.12:6514 (socket) | cmd=connect | args=collect syslog stream from ws-dev-02
- B004052 | 2026-01-20 12:35:20 | W021 | host=ws-finance-01 user=u_fin process=gvfsd | gvfsd:1120@ws-finance-01 --write--> /run/user/1001/gvfs/metadata (file) | cmd=write | args=desktop metadata update
- B002043 | 2026-01-20 12:35:23 | W021 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --connect--> 192.0.2.40:993 (socket) | cmd=connect | args=imap mail synchronization
- B002044 | 2026-01-20 12:35:25 | W021 | host=ws-finance-01 user=u_fin process=thunderbird | thunderbird:2124@ws-finance-01 --write--> /home/u_fin/.thunderbird/cache/index.sqlite (file) | cmd=write | args=update mail cache
- B002047 | 2026-01-20 12:35:28 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002039 | 2026-01-20 12:35:34 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --write--> /var/log/collector/ingest.log (file) | cmd=write | args=append log ingestion summary
- B002042 | 2026-01-20 12:35:36 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.31:6514 (socket) | cmd=connect | args=collect syslog stream from portal-web-01
- B004313 | 2026-01-20 12:35:42 | W021 | host=mon-srv-01 user=svc_mon process=suricata | suricata:1420@mon-srv-01 --write--> /var/log/suricata/eve.json (file) | cmd=write | args=normal network sensor write
- B003572 | 2026-01-20 12:35:46 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B005023 | 2026-01-20 12:35:47 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --write--> /var/lib/prometheus/wal/000001 (file) | cmd=write | args=normal metric wal write
- B002045 | 2026-01-20 12:35:49 | W021 | host=ws-dev-02 user=u_dev process=python3 | python3:2232@ws-dev-02 --execute--> /home/u_dev/src/portal/requirements.txt (file) | cmd=read | args=normal local development/test activity
- B002040 | 2026-01-20 12:35:51 | W021 | host=mon-srv-01 user=svc_mon process=log_collector | log_collector:1410@mon-srv-01 --connect--> 10.20.1.11:6514 (socket) | cmd=connect | args=collect syslog stream from ws-finance-01
- B002048 | 2026-01-20 12:36:02 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- E0049 | 2026-01-20 12:36:04 | W021 | host=ws-finance-01 user=root process=syswatch | syswatch:3280@ws-finance-01 --read--> /tmp/.session-x1 (file) | cmd=read | args=read local session state before beacon
- B004412 | 2026-01-20 12:36:05 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B002051 | 2026-01-20 12:36:06 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002050 | 2026-01-20 12:36:08 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B002049 | 2026-01-20 12:36:15 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B004354 | 2026-01-20 12:36:16 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=normal web access log append
- B002061 | 2026-01-20 12:36:25 | W021 | host=portal-web-01 user=svc_web process=nginx | nginx:1301@portal-web-01 --write--> /var/log/nginx/access.log (file) | cmd=write | args=append benign portal access log
- B002056 | 2026-01-20 12:36:27 | W021 | host=ws-finance-01 user=u_fin process=libreoffice | libreoffice:2112@ws-finance-01 --write--> /srv/share/finance/vendor_invoice.pdf (file) | cmd=write | args=autosave office document
- B002057 | 2026-01-20 12:36:30 | W021 | host=ws-dev-02 user=u_dev process=ssh | ssh:2201@ws-dev-02 --connect--> 10.20.1.31:22 (socket) | cmd=connect | args=normal developer ssh to portal
- B002053 | 2026-01-20 12:36:35 | W021 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- B003924 | 2026-01-20 12:37:48 | W021 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002068 | 2026-01-20 12:38:02 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.12:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-dev-02
- B004090 | 2026-01-20 12:38:08 | W021 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002067 | 2026-01-20 12:38:13 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.11:9100 (socket) | cmd=connect | args=scrape node_exporter on ws-finance-01
- B002070 | 2026-01-20 12:38:18 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.31:9100 (socket) | cmd=connect | args=scrape node_exporter on portal-web-01
- B002069 | 2026-01-20 12:38:18 | W021 | host=mon-srv-01 user=svc_mon process=prometheus | prometheus:1401@mon-srv-01 --connect--> 10.20.1.21:9100 (socket) | cmd=connect | args=scrape node_exporter on file-srv-01
- B005381 | 2026-01-20 12:38:21 | W021 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002078 | 2026-01-20 12:39:23 | W021 | host=ws-dev-02 user=u_dev process=curl | curl:2221@ws-dev-02 --connect--> 192.0.2.30:443 (socket) | cmd=connect | args=normal package/source repository access
- B004682 | 2026-01-20 12:39:24 | W021 | host=ws-dev-02 user=u_dev process=bash | bash:2250@ws-dev-02 --execute--> /usr/bin/make (file) | cmd=execute | args=normal build command
- B002076 | 2026-01-20 12:39:29 | W021 | host=ws-finance-01 user=u_fin process=firefox | firefox:2101@ws-finance-01 --connect--> 10.20.1.31:443 (socket) | cmd=connect | args=open internal portal page
- ... 84 additional audit rows omitted for W021

### Network flow side-view evidence
- BF000770 | 2026-01-20 12:30:09~2026-01-20 12:30:13 | W021 | mon-srv-01 10.20.1.41:53657 -> 10.20.1.11:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1638 bytes_in=7653 | related_audit=B001988
- BF000778 | 2026-01-20 12:30:12~2026-01-20 12:30:20 | W021 | ws-finance-01 10.20.1.11:49213 -> 192.0.2.40:993 | service=IMAPS pattern=mail_sync | bytes_out=2030 bytes_in=21699 | related_audit=B001998
- BF000775 | 2026-01-20 12:30:13~2026-01-20 12:30:19 | W021 | mon-srv-01 10.20.1.41:53977 -> 10.20.1.12:6514 | service=SYSLOG pattern=log_collection | bytes_out=1541 bytes_in=16804 | related_audit=B001994
- BF000771 | 2026-01-20 12:30:18~2026-01-20 12:30:20 | W021 | mon-srv-01 10.20.1.41:59104 -> 10.20.1.12:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1139 bytes_in=3009 | related_audit=B001989
- BF000772 | 2026-01-20 12:30:18~2026-01-20 12:30:20 | W021 | mon-srv-01 10.20.1.41:51697 -> 10.20.1.21:9100 | service=METRIC pattern=metrics_scrape | bytes_out=1546 bytes_in=5545 | related_audit=B001990
